nose length,right_ear length,left_ear length,weight
0.801187519,0.811003622,0.814566978,0
0.813530574,0.828982843,0.794281308,0
0.796368669,0.815959442,0.766732454,0
0.810267857,0.824808378,0.787483041,0
0.79829437,0.813330658,0.787777831,0
0.800430472,0.820462788,0.791309119,0
0.803468438,0.813802045,0.795096096,0
0.798459482,0.812144499,0.794822054,0
0.794371666,0.810657883,0.78766749,0
0.787472532,0.79413691,0.775663452,0
0.787875309,0.795866979,0.776469091,0
0.79373836,0.804354144,0.781426854,0
0.799690333,0.809579112,0.787075135,0
0.799241482,0.80714472,0.785268584,0
0.804266396,0.809450134,0.789930977,0
0.797112355,0.80382889,0.787075265,0
0.790595761,0.80108812,0.787609813,0
0.78920293,0.797693496,0.785917936,0
0.772841504,0.794103673,0.780062738,0
0.773207115,0.795733095,0.777708823,0
0.778780757,0.802178679,0.780410321,0
0.777816407,0.788977162,0.777358395,0
0.778500982,0.787032519,0.77566598,0
0.763524005,0.777421686,0.76871843,0
0.766769375,0.77802966,0.773574194,0
0.757721889,0.778537103,0.765461051,0
0.763767852,0.787788009,0.763793622,0
0.771635179,0.788000708,0.769145049,0
0.780407209,0.792327464,0.778835526,0
0.797068027,0.807845674,0.788026492,0
0.775636987,0.790783021,0.769179672,0
0.775387228,0.788470108,0.774002787,0
0.780139658,0.793849815,0.776806971,0
0.777593965,0.790361453,0.766685478,0
0.789231291,0.803209796,0.785264081,0
0.779549568,0.792610756,0.776870508,0
0.782336054,0.795350765,0.775825528,0
0.783585844,0.795701673,0.774789983,0
0.787828466,0.797139088,0.780955514,0
0.782503163,0.792698442,0.774649047,0
0.783626844,0.793564989,0.7759839,0
0.791785112,0.801603436,0.777572299,0
0.790997495,0.801808771,0.776515681,0
0.78710433,0.800887521,0.771660412,0
0.799057883,0.807759662,0.792233053,0
0.803643098,0.810186825,0.793175495,0
0.798411905,0.803435366,0.792778881,0
0.798253827,0.802068222,0.795806943,0
0.79522489,0.799890122,0.798070719,0
0.75572584,0.774848767,0.77401347,0
0.733373436,0.769161532,0.777084977,0
0.714064498,0.756113215,0.772922156,0
0.688586981,0.74244144,0.757380803,0
0.644760678,0.71344528,0.741333929,0
0.621942391,0.697566425,0.737678215,0
0.611863465,0.681935783,0.722154556,0
0.577073295,0.658875349,0.69555568,0
0.554497612,0.645751577,0.678612671,0
0.541362623,0.631841893,0.673525393,0
0.5381939,0.629156843,0.669073335,0
0.544047157,0.633509771,0.672520555,0
0.543833793,0.638296059,0.666291682,0
0.547914889,0.642075763,0.669334662,0
0.556761612,0.647204387,0.673024113,0
0.556017059,0.645955627,0.672850634,0
0.552931435,0.645370598,0.673598053,0
0.546984734,0.64873318,0.672700038,0
0.569438047,0.661616309,0.690135124,0
0.55602754,0.658671098,0.688731355,0
0.546525189,0.656699305,0.679438418,0
0.526138664,0.643122574,0.66340929,0
0.536100946,0.650427324,0.667743183,0
0.539819978,0.652244734,0.67007144,0
0.536119676,0.646466215,0.664970623,0
0.530681455,0.644461229,0.663083174,0
0.523663296,0.641635912,0.655327799,0
0.50355513,0.629096874,0.640395604,0
0.483892943,0.622120272,0.633562524,0
0.466114437,0.607104042,0.619108802,0
0.459163637,0.603918623,0.616845483,0
0.43442596,0.579268804,0.59899793,0
0.43634813,0.580441517,0.5978217,0
0.43785413,0.589816267,0.601687298,0
0.441717056,0.594969259,0.605736027,0
0.443073646,0.59649107,0.607393472,0
0.44183042,0.597141812,0.608486623,0
0.439834918,0.593203572,0.607010315,0
0.416902097,0.582613192,0.594443533,0
0.410045739,0.580736316,0.592576695,0
0.392761212,0.575134455,0.58045954,0
0.378122324,0.569557176,0.570405632,0
0.388166824,0.576321347,0.571465526,0
0.378592412,0.569829192,0.567362849,0
0.375902434,0.563026317,0.566605474,0
0.369886251,0.559683947,0.565547253,0
0.366809516,0.556578821,0.562068648,0
0.369034817,0.557487581,0.564265552,0
0.364510854,0.556618999,0.554189819,0
0.372914611,0.561664222,0.559406907,0
0.339631144,0.521553072,0.533014745,0
0.364318683,0.54863696,0.545157127,1
0.380435941,0.567277783,0.554449934,1
0.377939408,0.56431338,0.553166045,1
0.36832964,0.55270469,0.552172275,1
0.360500968,0.53790215,0.563772093,1
0.3817632,0.556799761,0.572786171,1
0.370206177,0.545538449,0.566702962,1
0.368862234,0.549226939,0.572830909,1
0.375314071,0.553935229,0.568446881,1
0.378475965,0.558950635,0.580525779,1
0.376862681,0.566024798,0.568815468,1
0.377682717,0.566122492,0.568217034,1
0.37728063,0.565352132,0.566164488,1
0.380206188,0.566875966,0.562835928,1
0.352191462,0.547657238,0.545287115,1
0.313975133,0.510616334,0.517549122,1
0.315611407,0.5092688,0.517336726,1
0.323155968,0.518387491,0.529745137,1
0.31980272,0.510496288,0.528730815,1
0.314604908,0.509698296,0.523433124,1
0.332752115,0.516897305,0.546609941,1
0.342074578,0.533272423,0.547189493,1
0.346764439,0.538549644,0.543422232,1
0.32402925,0.511501548,0.526578365,1
0.334447123,0.522921331,0.537233511,1
0.351634579,0.538483405,0.550354282,1
0.361270493,0.545275204,0.559847041,1
0.348465413,0.537047213,0.550416801,1
0.338126656,0.530894947,0.540166496,1
0.348660115,0.543243796,0.546141703,1
0.342163376,0.532306174,0.53845852,1
0.3542763,0.541744961,0.539125753,1
0.355472774,0.53977217,0.542997745,1
0.354383204,0.539296054,0.543045886,1
0.352773256,0.538484632,0.542389839,1
0.354260619,0.538828802,0.543107266,1
0.348951539,0.542488741,0.545652903,1
0.345874765,0.54499376,0.542816061,1
0.336516912,0.538158549,0.533423479,1
0.336590616,0.533315712,0.536106533,1
0.343980064,0.531636849,0.545007132,1
0.363992141,0.547950943,0.559386718,1
0.350528053,0.538472657,0.559462516,1
0.345870302,0.538021515,0.552170207,1
0.351730691,0.545671082,0.55090449,1
0.349694905,0.541594148,0.544173391,1
0.358242375,0.546136098,0.554062,1
0.341594328,0.531216982,0.543238715,1
0.345430561,0.538023018,0.542705985,1
0.348100952,0.5391076,0.542609979,1
0.343682249,0.536138394,0.535344121,1
0.34904752,0.538255334,0.537465593,1
0.357471231,0.539103411,0.551875151,1
0.36143759,0.545219444,0.556613124,1
0.368157234,0.55131072,0.568242428,1
0.36659609,0.552181413,0.569641706,1
0.367691474,0.554606362,0.565306692,1
0.386510876,0.566716701,0.576791229,1
0.437160816,0.600956849,0.608089496,1
0.46869641,0.614711418,0.629642649,1
0.488650304,0.622922591,0.647951927,1
0.500811814,0.626766264,0.664811492,1
0.515260091,0.637964564,0.662739963,1
0.526076383,0.639225139,0.675742283,1
0.560221067,0.670387901,0.693279186,1
0.609728431,0.702872364,0.712239791,1
0.608191228,0.697963697,0.706128956,1
0.614738096,0.704097046,0.711404396,1
0.619761271,0.703006323,0.71233611,1
0.632452479,0.712675177,0.718644583,1
0.596207697,0.687500287,0.699250719,1
0.604587097,0.691190259,0.704567696,1
0.624314207,0.706111119,0.713432182,1
0.61697578,0.70278955,0.707133965,1
0.610088484,0.69236227,0.701957557,1
0.606072991,0.693671403,0.710830214,1
0.610221794,0.695884613,0.710642985,1
0.615804349,0.69928826,0.71162762,1
0.615008743,0.699668605,0.711600882,1
0.618396642,0.705508385,0.717146379,1
0.62066531,0.708380086,0.71733246,1
0.615955852,0.703606012,0.71340171,1
0.609709123,0.712579,0.718658408,1
0.596191445,0.711278769,0.71756699,1
0.586713786,0.703628305,0.711556357,1
0.584530316,0.700636228,0.711116061,1
0.585195589,0.700729531,0.712791736,1
0.586676434,0.701586247,0.713240615,1
0.58386849,0.699747528,0.70973435,1
0.585767264,0.695137806,0.711873169,1
0.586027952,0.695214947,0.71185285,1
0.588209581,0.69587106,0.712755336,1
0.587939799,0.695537476,0.714013789,1
0.585006211,0.688770465,0.71229092,1
0.585822162,0.68946727,0.713946514,1
0.585705416,0.688101148,0.712762808,1
0.590477244,0.688991602,0.714582102,1
0.589337858,0.68810735,0.712856426,1
0.584570961,0.685318529,0.710130584,1
0.587550676,0.688188971,0.712129352,1
